Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  [44] av_velocity (d2q9-bgk.c:432 @ 4018f6) [71] rebound_collision (d2q9-bgk.c:339 @ 401378) [16] rebound_collision (d2q9-bgk.c:401 @ 40151a)
  [74] av_velocity (d2q9-bgk.c:432 @ 401911) [157] rebound_collision (d2q9-bgk.c:348 @ 40137c) [37] rebound_collision (d2q9-bgk.c:380 @ 40151e)
  [75] av_velocity (d2q9-bgk.c:441 @ 401916) [150] rebound_collision (d2q9-bgk.c:331 @ 401381) [123] rebound_collision (d2q9-bgk.c:381 @ 401523)
  [85] av_velocity (d2q9-bgk.c:439 @ 401923) [55] rebound_collision (d2q9-bgk.c:340 @ 401386) [61] rebound_collision (d2q9-bgk.c:400 @ 40152c)
  [86] av_velocity (d2q9-bgk.c:432 @ 401927) [151] rebound_collision (d2q9-bgk.c:331 @ 40138a) [95] rebound_collision (d2q9-bgk.c:380 @ 401539)
  [42] av_velocity (d2q9-bgk.c:448 @ 401933) [34] rebound_collision (d2q9-bgk.c:344 @ 401392) [96] rebound_collision (d2q9-bgk.c:385 @ 40153e)
  [46] av_velocity (d2q9-bgk.c:447 @ 401944) [142] rebound_collision (d2q9-bgk.c:331 @ 40139a) [127] rebound_collision (d2q9-bgk.c:385 @ 40154b)
   [1] av_velocity (d2q9-bgk.c:452 @ 40194c) [48] rebound_collision (d2q9-bgk.c:331 @ 4013a2) [30] rebound_collision (d2q9-bgk.c:381 @ 40154f)
  [62] av_velocity (d2q9-bgk.c:454 @ 401966) [59] rebound_collision (d2q9-bgk.c:346 @ 4013a7) [143] rebound_collision (d2q9-bgk.c:380 @ 40155d)
  [67] av_velocity (d2q9-bgk.c:422 @ 401972) [2] rebound_collision (d2q9-bgk.c:335 @ 4013ab) [56] rebound_collision (d2q9-bgk.c:402 @ 401562)
 [147] av_velocity (d2q9-bgk.c:460 @ 401997) [51] rebound_collision (d2q9-bgk.c:343 @ 4013af) [90] rebound_collision (d2q9-bgk.c:401 @ 40156a)
 [100] propagate (d2q9-bgk.c:253 @ 401070) [108] rebound_collision (d2q9-bgk.c:352 @ 4013b9) [91] rebound_collision (d2q9-bgk.c:384 @ 40156e)
 [101] propagate (d2q9-bgk.c:240 @ 4010a8) [94] rebound_collision (d2q9-bgk.c:358 @ 4013bd) [57] rebound_collision (d2q9-bgk.c:400 @ 401573)
 [132] propagate (d2q9-bgk.c:245 @ 4010ab) [17] rebound_collision (d2q9-bgk.c:352 @ 4013c4) [64] rebound_collision (d2q9-bgk.c:384 @ 401580)
  [76] propagate (d2q9-bgk.c:251 @ 4010b3) [88] rebound_collision (d2q9-bgk.c:360 @ 4013cc) [65] rebound_collision (d2q9-bgk.c:385 @ 40158a)
  [77] propagate (d2q9-bgk.c:245 @ 4010b8) [89] rebound_collision (d2q9-bgk.c:352 @ 4013d0) [49] rebound_collision (d2q9-bgk.c:386 @ 401595)
